\,watt-median,L1-dcache-loads:u,L1-dcache-loads:u-square,L1-dcache-stores:u,L1-dcache-stores:u-square,L1-icache-load-misses:u,L1-icache-load-misses:u-square,LLC-loads:u,LLC-loads:u-square,LLC-load-misses:u,LLC-load-misses:u-square,LLC-stores:u,LLC-stores:u-square,LLC-store-misses:u,LLC-store-misses:u-square,dTLB-loads:u,dTLB-loads:u-square,dTLB-load-misses:u,dTLB-load-misses:u-square,dTLB-stores:u,dTLB-stores:u-square,dTLB-store-misses:u,dTLB-store-misses:u-square,iTLB-load-misses:u,iTLB-load-misses:u-square,branch-loads:u,branch-loads:u-square,branch-load-misses:u,branch-load-misses:u-square,L1-dcache-load-misses:u,L1-dcache-load-misses:u-square,node-loads:u,node-loads:u-square,branch-instructions:u,branch-instructions:u-square,branch-misses:u,branch-misses:u-square,bus-cycles:u,bus-cycles:u-square,cache-misses:u,cache-misses:u-square,cache-references:u,cache-references:u-square,cpu-cycles:u,cpu-cycles:u-square,instructions:u,instructions:u-square,mem-stores:u,mem-stores:u-square,ref-cycles:u,ref-cycles:u-square,mem-loads-aux:u,mem-loads-aux:u-square,slots:u,slots:u-square,topdown-br-mispredict:u,topdown-br-mispredict:u-square,topdown-fetch-lat:u,topdown-fetch-lat:u-square
sleep 10s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_up_benchmark,11.415,1902017240.10805,3.617669581668244e+18,759155490.260695,5.7631705839295616e+17,2809673.65861174,7894266067896.681,774092.241704028,599218798666.3673,9429.85774920106,88922217.1701673,1021013.83819967,1042469257795.2218,29632.7474040872,878099718.7144367,1920626160.55948,3.6888048486254495e+18,146350.55962341,21418486302.085285,766578119.638206,5.876420135080476e+17,211483.675442359,44725344978.60904,109381.308268793,11964270598.592724,2430663225.65743,5.908123716563383e+18,16328427.4222474,266617542083600.88,7010385.51223173,49145505030108.53,482.710655398453,233009.57683520406,2382488333.60417,5.676250659759974e+18,15942145.7385711,254152010749840.7,3143643937.48945,9.882497205714172e+18,1064359.83184801,1132861851651.524,23190252.0061423,537787788108386.94,3098193380.76782,9.598802224633532e+18,11006789198.2768,1.2114940845530284e+20,909366006.417931,8.269465336284965e+17,3134993451.98879,9.82818394401259e+18,84669.3128284221,7168892534.837204,16851332437.459,2.8396740491775787e+20,2316390249.37924,5.365663787419218e+18,1483551481.55592,2.2009249984267648e+18
stress-ng --cpu 1 --cpu-method all --timeout 10s,9.81,999371659.178709,9.987437131696058e+17,450514867.610949,2.0296364593851088e+17,9739194.49208883,94851909354733.4,4904.54475811002,24054559.284304474,82.1508929063621,6748.769205312576,74704.1062734073,5580703494.108533,67.205312458345,4516.554022623783,1001719717.5731,1.0034423925747311e+18,610.020386318052,372124.87172362546,451567430.606465,2.0391314438452458e+17,445.960164206214,198880.46805883336,33895.8245782252,1148926923.8378155,831462527.474218,6.913299345938148e+17,12173349.4775528,148190437502635.03,64748824.4173323,4192410263426527.5,7.04703287895017,49.660672397004724,834075650.430514,6.956821906410849e+17,12145093.4359854,147503294568815.62,3465308152.58008,1.2008360592337967e+19,2375.00976525514,5640671.385057274,533363.488053257,284476610388.3368,3456443579.82158,1.1947002220489818e+19,7607541582.57032,5.787468893053653e+19,452457782.191367,2.0471804466553046e+17,3468530315.87654,1.2030702552154612e+19,2732439.84598047,7466227511901.775,20717570764.0899,4.292177383650726e+20,1787447327.24331,3.1949679476692526e+18,1300328011.47366,1.6908529374230428e+18
stress-ng --cpu 1 --cpu-method ackermann --timeout 10s,9.535,1340749777.70635,1.7976099664196273e+18,1340696876.64819,1.797468115054212e+18,26246.1116861365,688858378.641151,88.8739200566596,7898.573666237521,13.7122057753788,188.02458722633173,24.9632456265814,623.1636322130354,3.08345472249057,9.507693025649399,1340953909.17723,1.7981573865376945e+18,80.865824710471,6539.281606104622,1340901078.65979,1.7980157027509885e+18,64.698174505382,4185.853784328861,88.9157021150716,7906.002082616147,4268624481.12842,1.822115496088887e+19,7516859.32813596,56503174158984.59,9057.11275865917,82031291.52306673,-0.797619359252862,-0.797619359252862,3774870969.52742,1.4249650836580884e+19,6593654.09657831,43476274345323.93,3471078645.12835,1.204838696066606e+19,1053.55328543817,1109974.525257562,2610.47094995736,6814558.580571282,2874015584.13453,8.259965577848144e+18,13189178963.7655,1.7395444173823436e+20,1341063760.36964,1.7984520093767596e+18,3465343767.22379,1.200860742503677e+19,509.690634842117,259784.54324576026,20804300282.8758,4.328189102600661e+20,652835429.25916,4.2619409769599174e+17,571569911.438686,3.266921636620274e+17
stress-ng --cpu 1 --cpu-method apery --timeout 10s,8.59,462420706.937085,2.1383291020419344e+17,462333873.771598,2.137526108366519e+17,24703.9237094352,610283846.6415945,98.0617419545487,9616.105235160496,37.3586985736637,1395.6723591178622,23.1102354689664,534.0829834310726,0.694597354953575,0.48246548550850266,461435599.538465,2.1292281252142266e+17,78.0464742760831,6091.2521469273015,461348738.889184,2.1284265887464048e+17,64.146326681664,4114.751226750758,277.392659363789,76946.68746891507,924854716.442451,8.553562465258464e+17,12068.4927496332,145648517.24794912,4082.67025432224,16668196.405527623,3.07697052902033,9.467747636459649,922040803.940713,8.501592441316365e+17,12308.3782745283,151496175.74888027,3469092589.95035,1.2034603397648425e+19,1004.10840669838,1008233.6924023593,2532.10782471239,6411570.035969712,2872220439.08575,8.249650250701939e+18,10559345637.7852,1.1149978029821333e+20,555836403.27756,3.0895410720853434e+17,3463458466.16791,1.1995544546870172e+19,461.16288282378,212671.20449433947,17248373532.9851,2.975063895333809e+20,215501.468830258,46440883067.998665,506212.377923326,256250971562.7882
stress-ng --cpu 1 --cpu-method bitops --timeout 10s,8.435,176145.840220474,31027357026.976753,97167.1137361255,9441447991.809149,25483.3204222939,649399619.7453012,189.233642384502,35809.37141010559,19.7219971239771,388.957170558161,3.36855055729334,11.34713285704127,1.98604062370887,3.944357359021917,176083.551135384,31005416980.447395,80.6773967658348,6508.842348911931,97105.984652513,9429572255.33409,64.0094477445324,4097.209400560023,378.654119704771,143378.94236939505,1919027279.93943,3.6826657011517276e+18,98204.4304726028,9644110164.448278,5689.40021531671,32369274.81004583,3.87613550785589,15.024426475261237,1920899317.80261,3.689854189134532e+18,105422.54538733,11113913075.943653,3469316598.77621,1.2036157662544128e+19,918.18757020537,843068.4140796412,2509.49348754593,6297557.564035434,2872338515.21742,8.250328546001413e+18,14656786803.1793,2.148213993938509e+20,97602.0227905593,9526154852.808859,3460885392.20997,1.1977727698012359e+19,504.66425703239,254686.01232605422,17230810521.4894,2.9690083122746976e+20,210315.168120114,44232469941.39181,521691.508377125,272162029912.7999
stress-ng --cpu 1 --cpu-method callfunc --timeout 10s,9.105,1394248323.09356,1.943928386449204e+18,940607909.658062,8.847432397113089e+17,26492.020072198,701827127.5057417,130.494638034765,17028.850555824334,39.2181596206453,1538.0640440304137,30.3605534796012,921.7632075877245,0.696809941573833,0.4855440946761286,1683041098.45478,2.832627339087873e+18,81.0830287568924,6574.457552391041,1135438919.92526,1.2892215408810412e+18,62.0264484496204,3847.2803072734173,114.574308951845,13127.272271792828,2922540607.83221,8.541243604428263e+18,3455383.91647264,11939678010217.799,8679.50100754079,75333737.73990159,-0.598410206068074,-0.598410206068074,3540829927.47867,1.2537476575328604e+19,4197421.59630288,17618348057109.816,3465029067.87389,1.2006426441210999e+19,996.318990745638,992651.5313204066,2637.04762862478,6954020.195635575,2868735375.26597,8.229642653302387e+18,10274768712.4567,1.055708720944791e+20,1135332908.35524,1.288980812794368e+18,3469837605.61476,1.203977300933837e+19,474.803275849778,225438.15075768039,17218663803.0666,2.96482383163036e+20,472832902.945364,2.2357095410774e+17,203038448.788222,4.122461168632744e+16
stress-ng --cpu 1 --cpu-method cdouble --timeout 10s,10.69,2712739017.94511,7.358952979481799e+18,1192631679.89727,1.4223703238945843e+18,82730.9213086872,6844405340.584194,223.15139401831,49796.54465231503,20.1772569920876,407.12169972474794,6.46244849761964,41.76324058438634,3.18289783113927,10.13083860347107,2714497881.24983,7.368498747309815e+18,83.9179131655711,7042.216150064331,1193429548.09323,1.4242740862620111e+18,61.9953074357083,3843.418144047989,191.146843569976,36537.11580676487,1712179127.89214,2.9315573659894886e+18,7342886.53438742,53917982656888.09,14357.1714583512,206128372.28449434,0.992138516531515,0.9843388359853552,1710696484.79583,2.926482463092809e+18,7358992.17809229,54154765877223.5,3470940646.74431,1.2047428973221808e+19,962.44930365193,926308.6621000849,2613.52534441551,6830514.725902211,2873696690.34431,8.25813266809584e+18,11137607283.9238,1.2404629601091248e+20,1194497291.1262,1.4268237785078298e+18,3470231353.97117,1.204250565008458e+19,527.405970341504,278157.0575518634,20765103598.523,4.311895274573928e+20,1954404712.39117,3.819697779816812e+18,244757766.595428,5.990636430878201e+16
stress-ng --cpu 1 --cpu-method cfloat --timeout 10s,9.27,919761239.915638,8.459607384511517e+17,504628949.786123,2.5465037696224544e+17,48641.1311065868,2365959635.328166,207.847065435637,43200.40261020597,38.4407151919227,1477.6885844665167,10.0339232754115,100.67961629684463,1.19273612647205,1.42261946739155,919242100.875096,8.450060400212602e+17,87.6234048798658,7677.86108274089,504378786.81005,2.543979605839779e+17,67.679019414437,4580.44966889974,10467.5707788858,109570038.01098387,629632188.114844,3.964366923102863e+17,3272854.13724899,10711574203707.832,6029.95362931693,36360340.77171242,3.8747943045584,15.014030902638215,631815394.844602,3.991906931626403e+17,3299464.21166313,10886464084045.8,3464053220.02596,1.199966471117222e+19,982.521827410815,965349.1413386874,2628.97259782195,6911496.920098692,3461361973.47426,1.1981026711413623e+19,3823910923.5921,1.462229475156699e+19,503722764.0542,2.5373662302640323e+17,3464083989.32707,1.199987788511215e+19,47615251.1507692,2267212142150827.5,17231220317.0757,2.9691495361560235e+20,811000235.690497,6.577213822900417e+17,1351819830.66255,1.8274168545725253e+18
stress-ng --cpu 1 --cpu-method clongdouble --timeout 10s,9.53,1066080345.86217,1.136527303833604e+18,504141479.50406,2.5415863135654253e+17,115711.140613322,13389068062.035976,206.396439777284,42599.49035273802,15.80731590108,249.87123599653663,4.17625555843439,17.441110489354134,2.38767833233648,5.7010078187091136,1061277522.84782,1.1263099805020052e+18,163.403559163476,26700.7231472916,501882471.955299,2.518860156559615e+17,80.067742338948,6410.8433632561655,234.732890637436,55099.529947006486,742305807.136775,5.51017911308979e+17,1991781.55164686,3967193749480.7734,16361.926843176,267712650.0214433,4.26847538654191,18.219882125514108,745816366.315437,5.5624205226396205e+17,2015230.75741027,4061155005612.37,3458720300.00181,1.1962746113644612e+19,1192.64925578116,1422412.2473153549,3156.98587099447,9966559.789658714,2863579110.71927,8.200085323347766e+18,4943208729.84761,2.4435312546841625e+19,501385948.18749,2.5138786903986838e+17,3468136449.35981,1.202797043137807e+19,555.891827910537,309015.7243377181,17230017950.6879,2.968735185810273e+20,675822451.164763,4.567359854983484e+17,1757099404.10411,3.0873983159030185e+18
