"command","watt-median","L1-dcache-loads:u","dTLB-stores:u","dTLB-stores:u-square","dTLB-store-misses:u","dTLB-store-misses:u-square","iTLB-load-misses:u","iTLB-load-misses:u-square","branch-loads:u","branch-loads:u-square","branch-load-misses:u","L1-dcache-load-misses:u","L1-dcache-load-misses:u-square","branch-instructions:u","branch-instructions:u-square","branch-misses:u","cpu-cycles:u","instructions:u","instructions:u-square","mem-stores:u","mem-stores:u-square","ref-cycles:u","slots:u","topdown-br-mispredict:u"
"sleep 10s",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sum_up_benchmark",11.415,1902017240.10805,766578119.638206,"5.876420135080476e+17",211483.675442359,44725344978.609,109381.308268793,11964270598.5927,2430663225.65743,"5.908123716563383e+18",16328427.4222474,7010385.51223173,49145505030108.5,2382488333.60417,"5.676250659759974e+18",15942145.7385711,3098193380.76782,11006789198.2768,"1.2114940845530284e+20",909366006.417931,"8.269465336284965e+17",3134993451.98879,16851332437.459,2316390249.37924
"stress-ng --cpu 1 --cpu-method all --timeout 10s",9.81,999371659.178709,451567430.606465,"2.0391314438452458e+17",445.960164206214,198880.468058833,33895.8245782252,1148926923.83782,831462527.474218,"6.913299345938148e+17",12173349.4775528,64748824.4173323,4192410263426530,834075650.430514,"6.956821906410849e+17",12145093.4359854,3456443579.82158,7607541582.57032,"5.787468893053653e+19",452457782.191367,"2.0471804466553046e+17",3468530315.87654,20717570764.0899,1787447327.24331
"stress-ng --cpu 1 --cpu-method ackermann --timeout 10s",9.535,1340749777.70635,1340901078.65979,"1.7980157027509885e+18",64.698174505382,4185.85378432886,88.9157021150716,7906.00208261615,4268624481.12842,"1.822115496088887e+19",7516859.32813596,9057.11275865917,82031291.5230667,3774870969.52742,"1.4249650836580884e+19",6593654.09657831,2874015584.13453,13189178963.7655,"1.7395444173823436e+20",1341063760.36964,"1.7984520093767596e+18",3465343767.22379,20804300282.8758,652835429.25916
"stress-ng --cpu 1 --cpu-method apery --timeout 10s",8.59,462420706.937085,461348738.889184,"2.1284265887464048e+17",64.146326681664,4114.75122675076,277.392659363789,76946.6874689151,924854716.442451,"8.553562465258464e+17",12068.4927496332,4082.67025432224,16668196.4055276,922040803.940713,"8.501592441316365e+17",12308.3782745283,2872220439.08575,10559345637.7852,"1.1149978029821333e+20",555836403.27756,"3.0895410720853434e+17",3463458466.16791,17248373532.9851,215501.468830258
"stress-ng --cpu 1 --cpu-method bitops --timeout 10s",8.435,176145.840220474,97105.984652513,9429572255.33409,64.0094477445324,4097.20940056002,378.654119704771,143378.942369395,1919027279.93943,"3.6826657011517276e+18",98204.4304726028,5689.40021531671,32369274.8100458,1920899317.80261,"3.689854189134532e+18",105422.54538733,2872338515.21742,14656786803.1793,"2.148213993938509e+20",97602.0227905593,9526154852.80886,3460885392.20997,17230810521.4894,210315.168120114
"stress-ng --cpu 1 --cpu-method callfunc --timeout 10s",9.105,1394248323.09356,1135438919.92526,"1.2892215408810412e+18",62.0264484496204,3847.28030727342,114.574308951845,13127.2722717928,2922540607.83221,"8.541243604428263e+18",3455383.91647264,8679.50100754079,75333737.7399016,3540829927.47867,"1.2537476575328604e+19",4197421.59630288,2868735375.26597,10274768712.4567,"1.055708720944791e+20",1135332908.35524,"1.288980812794368e+18",3469837605.61476,17218663803.0666,472832902.945364
"stress-ng --cpu 1 --cpu-method cdouble --timeout 10s",10.69,2712739017.94511,1193429548.09323,"1.4242740862620111e+18",61.9953074357083,3843.41814404799,191.146843569976,36537.1158067649,1712179127.89214,"2.9315573659894886e+18",7342886.53438742,14357.1714583512,206128372.284494,1710696484.79583,"2.926482463092809e+18",7358992.17809229,2873696690.34431,11137607283.9238,"1.2404629601091248e+20",1194497291.1262,"1.4268237785078298e+18",3470231353.97117,20765103598.523,1954404712.39117
"stress-ng --cpu 1 --cpu-method cfloat --timeout 10s",9.27,919761239.915638,504378786.81005,"2.543979605839779e+17",67.679019414437,4580.44966889974,10467.5707788858,109570038.010984,629632188.114844,"3.964366923102863e+17",3272854.13724899,6029.95362931693,36360340.7717124,631815394.844602,"3.991906931626403e+17",3299464.21166313,3461361973.47426,3823910923.5921,"1.462229475156699e+19",503722764.0542,"2.5373662302640323e+17",3464083989.32707,17231220317.0757,811000235.690497
"stress-ng --cpu 1 --cpu-method clongdouble --timeout 10s",9.53,1066080345.86217,501882471.955299,"2.518860156559615e+17",80.067742338948,6410.84336325617,234.732890637436,55099.5299470065,742305807.136775,"5.51017911308979e+17",1991781.55164686,16361.926843176,267712650.021443,745816366.315437,"5.5624205226396205e+17",2015230.75741027,2863579110.71927,4943208729.84761,"2.4435312546841625e+19",501385948.18749,"2.5138786903986838e+17",3468136449.35981,17230017950.6879,675822451.164763
