"command","watt-median","L1-dcache-loads:u","L1-dcache-loads:u-square","L1-dcache-stores:u","L1-dcache-stores:u-square","L1-icache-loads:u","L1-icache-loads:u-square","L1-icache-load-misses:u","L1-icache-load-misses:u-square","dTLB-loads:u","dTLB-loads:u-square","dTLB-load-misses:u","dTLB-load-misses:u-square","dTLB-stores:u","dTLB-stores:u-square","branch-loads:u","branch-loads:u-square","branch-load-misses:u","branch-load-misses:u-square","branch-instructions:u","branch-instructions:u-square","branch-misses:u","branch-misses:u-square","cache-misses:u","cache-misses:u-square","cache-references:u","cache-references:u-square","cpu-cycles:u-square","instructions:u","instructions:u-square","mem-loads:u","mem-loads:u-square","mem-stores:u","mem-stores:u-square","ref-cycles:u","topdown-bad-spec:u","topdown-bad-spec:u-square","topdown-fe-bound:u","topdown-fe-bound:u-square","topdown-retiring:u","topdown-retiring:u-square"
"sleep 10s",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sum_up_benchmark",8.45,1508972524.93054,"2.2769980809952494e+18",606689055.155805,"3.680716096458434e+17",1436276413.90358,"2.0628899371357276e+18",2813353.83466992,7914959799051.94,1507873891.89837,"2.2736836738687373e+18",122467.97295908,14998404400.706,606249902.294804,"3.675389440324594e+17",1846398925.27912,"3.4091889912718894e+18",7169865.43876096,51406970409938.9,1861188602.20697,"3.4640230129851346e+18",6650407.16976734,44227915523692.8,513840.07548725,264031623176.743,11080622.0573261,122780185177302,"5.223953405260829e+18",7169134565.17659,"5.139649041360973e+19",0,0,599634385.207524,"3.595613959232052e+17",3096515594.75826,836142777.294954,"6.991347440225189e+17",2035314322.84507,"4.1425043927782856e+18",7357896065.85719,"5.413863451595672e+19"
"stress-ng --cpu 1 --cpu-method all --timeout 10s",7.26,617499357.96828,"3.8130545709123795e+17",278841173.608765,"7.775240009951342e+16",812316961.58384,"6.598588460768018e+17",554350.681632371,307304678226.274,622136071.25108,"3.8705329115172896e+17",111.108678648549,12345.1384710265,280926718.572061,"7.891982120766597e+16",513974646.286917,"2.641699370257614e+17",7748083.94553411,60032804827043.4,513613265.874392,"2.6379858688215885e+17",7754426.1766672,60131125329381.5,3078.66378484626,9478170.7001239,23600.6987977405,556992983.74167,"6.584885993844816e+18",4672687860.67387,"2.183401184328895e+19",5695649.45329685,32440422694840.7,278286762.585301,"7.744352223020768e+16",3453882243.75458,1079781109.9322,"1.1659272453664136e+18",1106342321.88842,"1.2239933332014605e+18",4973468491.07335,"2.4735388831699423e+19"
"stress-ng --cpu 1 --cpu-method ackermann --timeout 10s",7.68,1036648776.35502,"1.0746406855183603e+18",1036637846.28643,"1.074618024353368e+18",2244482528.05224,"5.037701818731774e+18",11930.4074675887,142334622.342696,1037553170.49641,"1.0765165816071525e+18",48.9721205442811,2398.2685906036,1037542249.11325,"1.0764939186949814e+18",2730000858.0265,"7.452904684825427e+18",4342816.80284119,18860057783039.8,2736839574.56581,"7.490290856909565e+18",4353649.35118143,18954262673042.5,1041.30148787939,1084308.78865983,1897.41070413596,3600167.38016972,"6.582841714511236e+18",10193514718.9396,"1.0390774232523827e+20",0,0,1036512077.15366,"1.074357286085395e+18",3462589057.61333,459165971.880091,"2.1083338973258854e+17",380507135.857244,"1.4478568043828317e+17",10502048945.0368,"1.1029303204394857e+20"
"stress-ng --cpu 1 --cpu-method apery --timeout 10s",7,183049758.449577,"3.350721406844849e+16",183031367.534737,"3.3500481501635976e+16",183202647.368183,"3.3563210002710804e+16",9597.91673375961,92120005.6281827,182719388.736978,"3.338637502041488e+16",46.7935435502572,2189.63571798982,182700776.196092,"3.33795736226545e+16",365939850.632466,"1.3391197428091154e+17",6718.84658516131,45142899.4349338,365451547.552766,"1.335548336087116e+17",6350.03862181791,40322990.4985791,1050.38984307981,1103318.82244523,1959.34463371789,3839031.39367909,"6.601439641404758e+18",3464874829.91059,"1.200535758694794e+19",47875783.9788549,2292090691589980,182452366.836254,"3.3288866164151e+16",3453619776.28666,1524337.8989431,2323606030154.26,93566468.5528268,8754684037447128,4028856654.46826,"1.6231685942253179e+19"
"stress-ng --cpu 1 --cpu-method bitops --timeout 10s",7.21,163894.904599464,26861539753.6674,131354.964861686,17254126793.8148,1649302163.79765,"2.7201976275076106e+18",10401.4108467285,108189347.602441,163785.390192086,26825654040.3739,50.6017283657126,2560.53491359736,131319.67167607,17244856169.1108,1540756524.22041,"2.3739306669277594e+18",64253.9988454516,4128576367.6313,1538236282.57999,"2.3661708610455066e+18",64550.8194775755,4166808295.22654,1087.40649989468,1182452.8960132,1908.81057843871,3643557.82435952,"6.621725683968991e+18",11759413807.7954,"1.3828381310296913e+20",0,0,131432.45238974,17274489541.1813,3457040078.95497,8212062.47637649,67437970115910.8,92251359.2223688,8510313278374530,11792745327.6068,"1.3906884236179202e+20"
"stress-ng --cpu 1 --cpu-method callfunc --timeout 10s",7.76,1388479916.21412,"1.9278764777299694e+18",936756061.968939,"8.775119196355546e+17",1011105240.07877,"1.0223338065147473e+18",11282.9759097855,127305545.3808,1387381029.82958,"1.9248261219309862e+18",49.3401122009729,2434.44667200459,936014916.490442,"8.761239238926092e+17",2911330850.29169,"8.475847319860134e+18",3437598.83681777,11817085762890.9,2917012117.68732,"8.508959694734665e+18",3441322.39367533,11842699817211.3,1098.11156114655,1205849.00072371,2065.56204618517,4266546.56664067,"6.613021800081761e+18",8480509032.25717,"7.191903344619544e+19",0,0,937115844.994894,"8.781861069404942e+17",3467431142.69999,410577896.944686,"1.6857420945952118e+17",1174633090.62344,"1.3797628975875748e+18",8943504826.18844,"7.998627857605593e+19"
"stress-ng --cpu 1 --cpu-method cdouble --timeout 10s",7.95,1689133415.64353,"2.853171695843578e+18",742668762.515614,"5.5155689081647354e+17",1334509938.86714,"1.780916776935178e+18",13132.2532089888,172456074.344997,1690727461.52717,"2.858559349162108e+18",50.1415906620521,2514.17911412079,743313343.463145,"5.5251472657035936e+17",1063989736.46288,"1.1320741592983489e+18",5893118.44372222,34728844991739,1064098480.48649,"1.132305576173657e+18",5912756.76529266,34960692565514.1,1138.19878116084,1295496.46543602,1986.93647681946,3947916.56291573,"6.620541877628998e+18",6923144641.09195,"4.792993172148019e+19",0,0,742662705.342621,"5.515478939068207e+17",3462301133.94037,1170837850.5787,"1.3708612723477504e+18",1109892496.90088,"1.2318613546768701e+18",7292249369.89561,"5.317690087274292e+19"
"stress-ng --cpu 1 --cpu-method cfloat --timeout 10s",6.98,410322817.759193,"1.683648147738439e+17",225457821.206833,"5.083122914333228e+16",493792197.332616,"2.4383073414657315e+17",14140.907766586,199965272.463092,409933283.158971,"1.6804529664149312e+17",49.6511720145644,2465.23888241986,225202855.613355,"5.0716326176409624e+16",281296848.927466,"7.912791721652162e+16",1505476.77966233,2266460334102.46,281572512.543939,"7.928307982030669e+16",1462145.2013028,2137868589692.81,1032.45427529045,1065961.83056553,1931.61645503711,3731142.12937013,"6.60524710507066e+18",1706695385.29564,"2.912809138189433e+18",0,0,224860711.485631,"5.0562339569824184e+16",3464450327.14073,1003530351.87242,"1.007073167129183e+18",2374416806.93482,"5.637855173054547e+18",2566023407.71134,"6.584476128922518e+18"
"stress-ng --cpu 1 --cpu-method clongdouble --timeout 10s",7.06,631385602.863104,"3.9864777950280525e+17",298641411.751878,"8.918669281315475e+16",602602642.363415,"3.6312994458336986e+17",16802.0188089803,282307836.057328,633429840.992471,"4.012333634597471e+17",51.9543079020802,2699.25010958415,299601506.621126,"8.97610627696486e+16",444510605.439856,"1.9758967834850733e+17",2790805.50792633,7788595383071.94,445492128.084426,"1.9846323618519062e+17",2800966.42015461,7845412886833.73,1080.86800495053,1168275.64412574,1972.73885053693,3891698.57241777,"6.574515386070645e+18",2951702213.38578,"8.712545956506512e+18",12486294.6641381,155907554439684,299422193.72085,"8.965365009260622e+16",3465339978.88143,784180401.996763,"6.149389028758048e+17",1987221425.36183,"3.9490489934171034e+18",3404806512.55532,"1.159270738793912e+19"
"stress-ng --cpu 1 --cpu-method collatz --timeout 10s",7.17,10836665.504383,117433319253884,6327440.96175581,40036509124505.3,1745774274.27585,"3.047727816723371e+18",9629.97056628416,92736333.1074993,10819507.0283697,117061732336941,49.5731068205162,2457.49291983831,6317117.69179463,39905975931984.7,1454015153.1994,"2.1141600657334746e+18",224113.241166308,50226744866.0677,1447767815.81177,"2.096031648500383e+18",222884.267133717,49677396535.7341,957.022097335662,915891.294788749,1932.47631479963,3734464.70726156,"6.618005331332384e+18",6389216413.88311,"4.082208638343335e+19",0,0,6310148.90647772,39817979221922,3458038025.16254,21290179.6012012,453271747451404,6008637314.24154,"3.6103722374095786e+19",6415169754.31291,"4.1154402976651166e+19"
"stress-ng --cpu 1 --cpu-method correlate --timeout 10s",7.29,836833349.352448,"7.002900545884362e+17",1993674.94750094,3974739796292.88,446809435.885387,"1.9963867199621776e+17",10240.1614588056,104860906.702408,837006753.000558,"7.005803045685371e+17",49.9164154540083,2491.64853177716,1994259.64710379,3977071540066.53,422977338.151013,"1.789098285893164e+17",1003187.4479387,1006385055701.76,422538491.742411,"1.7853877700395155e+17",1002202.39579348,1004409642134.19,1077.98636114271,1162054.5948097,1998.58539284657,3994343.57249968,"6.61513004094514e+18",4668173816.51631,"2.179184678120845e+19",0,0,1993509.82828003,3974081435449.07,3462633847.51588,137487956.242237,"1.8902938111667276e+16",22134305.9531414,489927500027271,4681134612.19401,"2.191302125748076e+19"
"stress-ng --cpu 1 --cpu-method crc16 --timeout 10s",6.92,69202886.3834335,4789039483798407,502743.784271356,252751312623.484,417485732.344536,"1.7429433671125357e+17",11448.3434944958,131064568.767964,69098482.7960621,4774600324717690,50.2180189626774,2521.84942853583,502205.614697458,252210479433.652,69489790.3242595,4828830959309550,133438.028474677,17805707443.2087,69365394.3556045,4811557934108529,133182.878727046,17737679186.023,1085.29748541355,1177870.63184497,1998.60899343563,3994437.90864178,"6.585327572939411e+18",4555976060.64657,"2.075691786518464e+19",0,0,503569.942852848,253582687344.821,3466406145.34392,11368989.3384075,129253918576823,4562920.30599598,20820241718870.5,4563078337.91729,"2.0821683917970014e+19"
"stress-ng --cpu 1 --cpu-method dither --timeout 10s",8.25,1374240643.91114,"1.8885373473773046e+18",1194791882.93217,"1.4275276435206e+18",1156551171.16622,"1.337610611525955e+18",11520.0175680814,132710804.768904,1370836121.3279,"1.8791916715373207e+18",47.7354495008048,2278.67313904389,1191831999.96829,"1.4204635161484142e+18",1316708450.21974,"1.7337211428800694e+18",265597.380130065,70541968331.9543,1317504982.84193,"1.735819379813314e+18",265781.306279361,70639702767.5635,1087.95777462338,1183652.11936346,1982.65731842718,3930930.04231286,"6.60388879822426e+18",8750053918.35826,"7.656344357417673e+19",0,0,1163752934.45629,"1.354320892455626e+18",3454935338.95724,25735942.9970288,662338761946316,1464421239.30991,"2.144529566141973e+18",8972976400.08271,"8.051430547644128e+19"
