"\","watt-median","L1-dcache-loads:u","L1-dcache-stores:u","L1-icache-load-misses:u","LLC-loads:u","LLC-load-misses:u","LLC-stores:u","LLC-store-misses:u","dTLB-loads:u","dTLB-load-misses:u","dTLB-stores:u","dTLB-store-misses:u","iTLB-load-misses:u","branch-loads:u","branch-load-misses:u","L1-dcache-load-misses:u","node-loads:u","branch-instructions:u","branch-misses:u","bus-cycles:u","cache-misses:u","cache-references:u","cpu-cycles:u","instructions:u","mem-stores:u","ref-cycles:u","mem-loads-aux:u","slots:u","topdown-br-mispredict:u","topdown-fetch-lat:u"
"sleep 10s",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sum_up_benchmark",11.415,1902017240.10805,759155490.260695,2809673.65861174,774092.241704028,9429.85774920106,1021013.83819967,29632.7474040872,1920626160.55948,146350.55962341,766578119.638206,211483.675442359,109381.308268793,2430663225.65743,16328427.4222474,7010385.51223173,482.710655398453,2382488333.60417,15942145.7385711,3143643937.48945,1064359.83184801,23190252.0061423,3098193380.76782,11006789198.2768,909366006.417931,3134993451.98879,84669.3128284221,16851332437.459,2316390249.37924,1483551481.55592
"stress-ng --cpu 1 --cpu-method all --timeout 10s",9.81,999371659.178709,450514867.610949,9739194.49208883,4904.54475811002,82.1508929063621,74704.1062734073,67.205312458345,1001719717.5731,610.020386318052,451567430.606465,445.960164206214,33895.8245782252,831462527.474218,12173349.4775528,64748824.4173323,7.04703287895017,834075650.430514,12145093.4359854,3465308152.58008,2375.00976525514,533363.488053257,3456443579.82158,7607541582.57032,452457782.191367,3468530315.87654,2732439.84598047,20717570764.0899,1787447327.24331,1300328011.47366
"stress-ng --cpu 1 --cpu-method ackermann --timeout 10s",9.535,1340749777.70635,1340696876.64819,26246.1116861365,88.8739200566596,13.7122057753788,24.9632456265814,3.08345472249057,1340953909.17723,80.865824710471,1340901078.65979,64.698174505382,88.9157021150716,4268624481.12842,7516859.32813596,9057.11275865917,-0.797619359252862,3774870969.52742,6593654.09657831,3471078645.12835,1053.55328543817,2610.47094995736,2874015584.13453,13189178963.7655,1341063760.36964,3465343767.22379,509.690634842117,20804300282.8758,652835429.25916,571569911.438686
"stress-ng --cpu 1 --cpu-method apery --timeout 10s",8.59,462420706.937085,462333873.771598,24703.9237094352,98.0617419545487,37.3586985736637,23.1102354689664,0.694597354953575,461435599.538465,78.0464742760831,461348738.889184,64.146326681664,277.392659363789,924854716.442451,12068.4927496332,4082.67025432224,3.07697052902033,922040803.940713,12308.3782745283,3469092589.95035,1004.10840669838,2532.10782471239,2872220439.08575,10559345637.7852,555836403.27756,3463458466.16791,461.16288282378,17248373532.9851,215501.468830258,506212.377923326
"stress-ng --cpu 1 --cpu-method bitops --timeout 10s",8.435,176145.840220474,97167.1137361255,25483.3204222939,189.233642384502,19.7219971239771,3.36855055729334,1.98604062370887,176083.551135384,80.6773967658348,97105.984652513,64.0094477445324,378.654119704771,1919027279.93943,98204.4304726028,5689.40021531671,3.87613550785589,1920899317.80261,105422.54538733,3469316598.77621,918.18757020537,2509.49348754593,2872338515.21742,14656786803.1793,97602.0227905593,3460885392.20997,504.66425703239,17230810521.4894,210315.168120114,521691.508377125
"stress-ng --cpu 1 --cpu-method callfunc --timeout 10s",9.105,1394248323.09356,940607909.658062,26492.020072198,130.494638034765,39.2181596206453,30.3605534796012,0.696809941573833,1683041098.45478,81.0830287568924,1135438919.92526,62.0264484496204,114.574308951845,2922540607.83221,3455383.91647264,8679.50100754079,-0.598410206068074,3540829927.47867,4197421.59630288,3465029067.87389,996.318990745638,2637.04762862478,2868735375.26597,10274768712.4567,1135332908.35524,3469837605.61476,474.803275849778,17218663803.0666,472832902.945364,203038448.788222
"stress-ng --cpu 1 --cpu-method cdouble --timeout 10s",10.69,2712739017.94511,1192631679.89727,82730.9213086872,223.15139401831,20.1772569920876,6.46244849761964,3.18289783113927,2714497881.24983,83.9179131655711,1193429548.09323,61.9953074357083,191.146843569976,1712179127.89214,7342886.53438742,14357.1714583512,0.992138516531515,1710696484.79583,7358992.17809229,3470940646.74431,962.44930365193,2613.52534441551,2873696690.34431,11137607283.9238,1194497291.1262,3470231353.97117,527.405970341504,20765103598.523,1954404712.39117,244757766.595428
"stress-ng --cpu 1 --cpu-method cfloat --timeout 10s",9.27,919761239.915638,504628949.786123,48641.1311065868,207.847065435637,38.4407151919227,10.0339232754115,1.19273612647205,919242100.875096,87.6234048798658,504378786.81005,67.679019414437,10467.5707788858,629632188.114844,3272854.13724899,6029.95362931693,3.8747943045584,631815394.844602,3299464.21166313,3464053220.02596,982.521827410815,2628.97259782195,3461361973.47426,3823910923.5921,503722764.0542,3464083989.32707,47615251.1507692,17231220317.0757,811000235.690497,1351819830.66255
"stress-ng --cpu 1 --cpu-method clongdouble --timeout 10s",9.53,1066080345.86217,504141479.50406,115711.140613322,206.396439777284,15.80731590108,4.17625555843439,2.38767833233648,1061277522.84782,163.403559163476,501882471.955299,80.067742338948,234.732890637436,742305807.136775,1991781.55164686,16361.926843176,4.26847538654191,745816366.315437,2015230.75741027,3458720300.00181,1192.64925578116,3156.98587099447,2863579110.71927,4943208729.84761,501385948.18749,3468136449.35981,555.891827910537,17230017950.6879,675822451.164763,1757099404.10411
