"\","watt-median","L1-dcache-loads:u","L1-dcache-stores:u","L1-icache-loads:u","L1-icache-load-misses:u","LLC-loads:u","LLC-load-misses:u","LLC-stores:u","dTLB-loads:u","dTLB-load-misses:u","dTLB-stores:u","dTLB-store-misses:u","iTLB-load-misses:u","branch-loads:u","branch-load-misses:u","branch-instructions:u","branch-misses:u","bus-cycles:u","cache-misses:u","cache-references:u","cpu-cycles:u","instructions:u","mem-loads:u","mem-stores:u","ref-cycles:u","topdown-bad-spec:u","topdown-be-bound:u","topdown-fe-bound:u","topdown-retiring:u"
"sleep 10s",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sum_up_benchmark",8.45,1508972524.93054,606689055.155805,1436276413.90358,2813353.83466992,975316.212133882,215.011992068087,1011442.76955373,1507873891.89837,122467.97295908,606249902.294804,68299.5068124543,386327.531590066,1846398925.27912,7169865.43876096,1861188602.20697,6650407.16976734,3082646611.71206,513840.07548725,11080622.0573261,2285596947.24613,7169134565.17659,0,599634385.207524,3096515594.75826,836142777.294954,1238928990.17494,2035314322.84507,7357896065.85719
"stress-ng --cpu 1 --cpu-method all --timeout 10s",7.26,617499357.96828,278841173.608765,812316961.58384,554350.681632371,400.366296837927,1.48850153798312,3340.8725323775,622136071.25108,111.108678648549,280926718.572061,138.149234382694,21186.2378040802,513974646.286917,7748083.94553411,513613265.874392,7754426.1766672,3457256831.13724,3078.66378484626,23600.6987977405,2566103270.30009,4672687860.67387,5695649.45329685,278286762.585301,3453882243.75458,1079781109.9322,5642234295.99556,1106342321.88842,4973468491.07335
"stress-ng --cpu 1 --cpu-method ackermann --timeout 10s",7.68,1036648776.35502,1036637846.28643,2244482528.05224,11930.4074675887,151.300356153216,0,-2.59805927492024,1037553170.49641,48.9721205442811,1037542249.11325,7.44975559466581,7891.76933247478,2730000858.0265,4342816.80284119,2736839574.56581,4353649.35118143,3456757267.52706,1041.30148787939,1897.41070413596,2565704915.71249,10193514718.9396,0,1036512077.15366,3462589057.61333,459165971.880091,1538322812.76145,380507135.857244,10502048945.0368
"stress-ng --cpu 1 --cpu-method apery --timeout 10s",7,183049758.449577,183031367.534737,183202647.368183,9597.91673375961,189.327388154763,0,-1.80547162414914,182719388.736978,46.7935435502572,182700776.196092,7.64980363381646,5377.28836788823,365939850.632466,6718.84658516131,365451547.552766,6350.03862181791,3461813819.14919,1050.38984307981,1959.34463371789,2569326690.28381,3464874829.91059,47875783.9788549,182452366.836254,3453619776.28666,1524337.8989431,8736575330.75981,93566468.5528268,4028856654.46826
"stress-ng --cpu 1 --cpu-method bitops --timeout 10s",7.21,163894.904599464,131354.964861686,1649302163.79765,10401.4108467285,131.399165023134,0.198513734957369,14.3737472993197,163785.390192086,50.6017283657126,131319.67167607,7.44070328665617,6764.15747981549,1540756524.22041,64253.9988454516,1538236282.57999,64550.8194775755,3466850054.59923,1087.40649989468,1908.81057843871,2573271397.26244,11759413807.7954,0,131432.45238974,3457040078.95497,8212062.47637649,971866700.110174,92251359.2223688,11792745327.6068
"stress-ng --cpu 1 --cpu-method callfunc --timeout 10s",7.76,1388479916.21412,936756061.968939,1011105240.07877,11282.9759097855,157.67957780953,0,9.12240674851209,1387381029.82958,49.3401122009729,936014916.490442,7.24652927148241,9235.23790948727,2911330850.29169,3437598.83681777,2917012117.68732,3441322.39367533,3464646921.52447,1098.11156114655,2065.56204618517,2571579631.29314,8480509032.25717,0,937115844.994894,3467431142.69999,410577896.944686,2347830555.69242,1174633090.62344,8943504826.18844
"stress-ng --cpu 1 --cpu-method cdouble --timeout 10s",7.95,1689133415.64353,742668762.515614,1334509938.86714,13132.2532089888,1.59874070994948,0.198760938108273,36.9565980739446,1690727461.52717,50.1415906620521,743313343.463145,7.54557923596946,16059.1148809578,1063989736.46288,5893118.44372222,1064098480.48649,5912756.76529266,3466496164.56257,1138.19878116084,1986.93647681946,2573041367.25957,6923144641.09195,0,742662705.342621,3462301133.94037,1170837850.5787,3304548190.16667,1109892496.90088,7292249369.89561
"stress-ng --cpu 1 --cpu-method cfloat --timeout 10s",6.98,410322817.759193,225457821.206833,493792197.332616,14140.907766586,211.56185701589,0,11.1212566836632,409933283.158971,49.6511720145644,225202855.613355,8.14268712969857,15320.0958430558,281296848.927466,1505476.77966233,281572512.543939,1462145.2013028,3462958585.04777,1032.45427529045,1931.61645503711,2570067529.28219,1706695385.29564,0,224860711.485631,3464450327.14073,1003530351.87242,6944616512.91005,2374416806.93482,2566023407.71134
"stress-ng --cpu 1 --cpu-method clongdouble --timeout 10s",7.06,631385602.863104,298641411.751878,602602642.363415,16802.0188089803,95.2026161982036,0,13.1945494561899,633429840.992471,51.9543079020802,299601506.621126,7.54924830809943,17405.0979177127,444510605.439856,2790805.50792633,445492128.084426,2800966.42015461,3454548929.2303,1080.86800495053,1972.73885053693,2564081782.25084,2951702213.38578,12486294.6641381,299422193.72085,3465339978.88143,784180401.996763,6701150853.96141,1987221425.36183,3404806512.55532
"stress-ng --cpu 1 --cpu-method collatz --timeout 10s",7.17,10836665.504383,6327440.96175581,1745774274.27585,9629.97056628416,251.575558627825,0,-3.88972426112724,10819507.0283697,49.5731068205162,6317117.69179463,7.83213204552848,4655.57562106449,1454015153.1994,224113.241166308,1447767815.81177,222884.267133717,3465864611.12391,957.022097335662,1932.47631479963,2572548411.85397,6389216413.88311,0,6310148.90647772,3458038025.16254,21290179.6012012,450009219.591536,6008637314.24154,6415169754.31291
"stress-ng --cpu 1 --cpu-method correlate --timeout 10s",7.29,836833349.352448,1993674.94750094,446809435.885387,10240.1614588056,227.16043316406,0,11.8813261431495,837006753.000558,49.9164154540083,1994259.64710379,9.62684335197595,5302.71761429724,422977338.151013,1003187.4479387,422538491.742411,1002202.39579348,3465140158.31342,1077.98636114271,1998.58539284657,2571989510.27121,4668173816.51631,0,1993509.82828003,3462633847.51588,137487956.242237,8038668012.1873,22134305.9531414,4681134612.19401
"stress-ng --cpu 1 --cpu-method crc16 --timeout 10s",6.92,69202886.3834335,502743.784271356,417485732.344536,11448.3434944958,113.025803059636,0.894098143572196,7.93297225020572,69098482.7960621,50.2180189626774,502205.614697458,6.94620554638499,5630.03088970133,69489790.3242595,133438.028474677,69365394.3556045,133182.878727046,3457125485.0822,1085.29748541355,1998.60899343563,2566189309.64561,4555976060.64657,0,503569.942852848,3466406145.34392,11368989.3384075,8304488741.69969,4562920.30599598,4563078337.91729
"stress-ng --cpu 1 --cpu-method dither --timeout 10s",8.25,1374240643.91114,1194791882.93217,1156551171.16622,11520.0175680814,-26.4530729061971,2.18852765536305,51.2229191603381,1370836121.3279,47.7354495008048,1191831999.96829,38.3277803255794,4510.17208549104,1316708450.21974,265597.380130065,1317504982.84193,265781.306279361,3462256410.76729,1087.95777462338,1982.65731842718,2569803260.60659,8750053918.35826,0,1163752934.45629,3454935338.95724,25735942.9970288,2391374239.30567,1464421239.30991,8972976400.08271
"stress-ng --cpu 1 --cpu-method div8 --timeout 10s",6.96,173684.600501929,149544.094450532,500472661.69038,10596.3182106029,24.66108027929,0,40.4014148930923,173240.604822305,48.9544283803293,149155.611260988,7.43159877835744,1886.52261794107,425750550.552609,1900322.84355172,426394221.67911,1903572.60719584,3455252443.69707,1052.29143719664,2091.62724817771,2564602589.55312,2989913864.82568,0,148741.943588424,3462880707.42253,234088477.752785,8344430182.58145,31150785.1111217,4274716569.10609
"stress-ng --cpu 1 --cpu-method div16 --timeout 10s",6.97,173526.777732048,149513.202832325,480979081.236775,10819.4419526411,160.830988894988,1.78901787283961,4.9569812516898,172790.657647571,47.0042724332338,148704.886458265,6.85644387816834,5802.56234488766,424561824.562342,1895433.84886891,424259920.048178,1894153.50783463,3462235306.2742,1106.88674949646,1936.12725046895,2569783831.34996,2971076920.90924,0,148260.705122015,3450796675.40059,210127436.983453,8233253267.78537,154568801.030328,4260134992.07863
"stress-ng --cpu 1 --cpu-method div32 --timeout 10s",6.95,173091.888639557,148806.726725503,479383900.890743,10286.6988242988,34.643844258997,0,36.5141402444125,172949.735931707,57.7022592607039,148931.803901608,7.44765732255872,5994.35339931049,423115148.710076,1889082.08499117,424537646.483491,1896193.20609813,3454695302.44206,978.255934068902,1930.50752649648,2564218351.62311,2974185686.06669,0,148903.11083038,3463832692.80327,199564133.504261,8238053768.11381,193843836.802638,4249712965.48214
