"command","watt","L1-dcache-loads","L1-dcache-stores","L1-icache-load-misses","LLC-loads","LLC-load-misses","LLC-stores","LLC-store-misses","dTLB-loads","dTLB-load-misses","dTLB-stores","dTLB-store-misses","iTLB-load-misses","branch-loads","branch-load-misses","L1-dcache-load-misses","node-loads","branch-instructions","branch-misses","bus-cycles","cache-misses","cache-references","cpu-cycles","instructions","mem-stores","ref-cycles","mem-loads-aux","slots","topdown-br-mispredict","topdown-fetch-lat","cstate_core/c1-residency/","cstate_core/c6-residency/","cstate_core/c7-residency/","msr/aperf/","msr/mperf/","msr/pperf/","msr/tsc/","uncore_clock/clockticks/","unc_m_clockticks","unc_mc0_wrcas_count_freerun","unc_m_dram_page_hit_wr","unc_m_vc0_requests_wr","unc_m_dram_page_empty_wr","unc_m_cas_count_wr","unc_m_act_count_wr","unc_m_prefetch_rd","unc_m_dram_page_miss_wr","unc_m_pre_count_idle","unc_m_act_count_total","unc_m_pre_count_page_miss","unc_m_act_count_rd","unc_m_dram_page_miss_rd","unc_m_cas_count_rd","unc_m_dram_page_empty_rd","unc_m_vc0_requests_rd","unc_mc0_rdcas_count_freerun","unc_m_dram_page_hit_rd"
"sleep 10s",2.125,42997.7833871232,23133.9098243643,7078.83734453906,389.942431792216,28.7629818243876,155.260386318493,54.6397128774698,41575.009771487,43.1263636759119,22369.4356808116,36.9512261518784,23.8184507179998,33879.9024587468,953.734616616141,932.706612007363,5.773433531641,34653.2430184412,988.15301152759,478491.680595544,1361.36887244182,4024.55295341031,144998.631775665,168777.863665457,22923.7323628805,553428.124922135,532.703555747675,845273.243954311,99443.8407419227,255239.310767195,45936970.7734405,27904585074.6458,20753966679.2321,143983.118051662,558798.20384374,138696.712081087,563296.576160531,37369963.4538202,177728131.709414,38563.4191274028,26881.4778697734,68986.7006639704,40060.3326320265,68985.5028516899,30281.2933565409,89779.6565590643,5669.29263767955,106735.921936336,193894.420392688,53340.0408374674,170285.923696888,15285.4026290778,719127.558462299,194854.066905562,657417.628556318,329297.643810401,449078.66241632
"sum_up_benchmark",14.505,2416194338.60392,997787670.540781,13294615.0542158,2749966.0423747,36767.5641835203,2785127.74198149,1143402.33807352,2175275696.69778,195397.703633442,898260525.129496,699998.853801579,120603.776177908,2912149785.28631,19175234.0155346,10777306.232892,8161.40988025355,2909604087.90677,19073026.8217992,3645725221.03348,6728517.43140718,39024225.9813226,3596593272.78525,11664606808.4586,1010938238.2496,3654629705.67055,1572746.24030229,21736259632.609,2597484944.57444,2067675490.84563,12951400270.5294,28062502860.874,9399855670.6487,3640427818.08849,3660220378.5069,3611637325.8325,3662830835.27556,2886425895.719,2390791162.75018,3227801.45432446,1786185.59694337,6601932.39670266,4209697.29450985,6601940.47706749,2567687.25591559,1420005.90468806,410047.813237384,3085609.02640792,4769430.73995423,1269762.82006022,1838346.05405234,265843.906546307,7529135.18868376,2441407.79671979,6799485.98726927,3525083.02592872,4380747.02578156
"stress-ng --cpu 2 --cpu-method all --timeout 10s",16.39,2006964895.92934,905662613.625026,20222416.7897671,56288.9953385556,1720.1462720157,203219.348135788,24716.5231050183,2013098946.16777,1409.84136570534,908533121.006863,9503.5849246845,54147.5898077425,1675288241.95058,24449330.9424256,105042441.585306,333.759859690966,1674619071.91125,24508400.6654624,6953243404.33375,56550.6387563183,1171046.65673834,6931662082.69493,15248513772.5695,909034187.888221,6951969256.27257,5534490.68081217,41579594089.9891,3748237487.14799,2610633965.81339,3527259248.30901,27893525904.2613,13800561015.1339,6935020494.56226,6951994109.85377,6929491808.97502,6956002311.72268,2887136447.25796,2389444709.36587,25706.0540041197,16662.2786126699,49735.8183156391,30192.136079255,49737.0136966273,15386.4460046773,48255.1086808486,3098.86057199772,32403.6969446088,50397.0648490824,16928.4789915426,42389.5486085591,4074.68315088299,137444.613408316,36027.0239584661,94366.3956680119,48504.1120107059,58594.3802154357
"stress-ng --cpu 2 --cpu-method ackermann --timeout 10s",16.12,2955466427.8174,2952477525.40726,364378.438793631,42165.5177523316,1240.2909713866,37884.6096621236,25139.4341322139,2961830080.91462,373.769927646936,2958802604.77332,8234.57520480914,256.000752721716,7796388128.88702,14103089.0261251,143784.503579175,294.415118557511,7821004465.62295,13767837.1001645,6955867002.37058,49915.0713100739,137858.665806259,5758186669.82809,29032107526.8423,2953125927.51177,6950583218.55491,43437.9802208522,41698067607.7667,1226234183.68914,1392637751.489,92334051.6633657,27927658236.2491,13840503993.2573,5757388811.27471,6950507948.48563,5754702145.11213,6958232250.40688,2886567223.73876,2388942126.15331,28654.9205644053,18246.1431531097,44587.1967261687,27025.1345004878,44589.4861229471,14645.9679640106,44967.7679722096,3368.4220860312,37621.0803475997,57027.678545813,10841.3106591205,26128.3142880424,2461.42281564681,100857.608731002,35756.5566596566,96808.6600174611,49489.6199559463,60913.1742936736
"stress-ng --cpu 2 --cpu-method apery --timeout 10s",14.09,930143483.06411,926967560.444658,398859.320125924,40448.0010911308,2379.04296786814,39098.0824128614,19001.8533784492,928232523.72606,383.26237635212,925171235.253811,8216.0134341992,179.153250292012,1850882027.70661,32943.4309825648,83454.7111672253,316.362649269339,1847836706.99352,33712.4507203952,6956684244.20646,47696.3875385329,133721.326657977,5759010558.48837,17546147084.9305,925997418.212157,6952177795.41208,42528.145998217,38133778522.7157,751346.193771344,3975155.91497674,132814012.425759,27881408569.4208,10361323060.1673,5756441684.61022,6948502031.71697,5754426415.70121,6958312590.95476,2887680643.032,2390821702.13701,24055.4032476562,16035.4077663824,47222.7443800585,28560.0137125909,47223.242547058,14269.6947994066,43068.1285022009,2688.37054302589,22382.5304536876,37446.0934059601,9068.4379901734,23957.9472321412,2184.67005785723,88871.3099768426,42075.4901341606,110937.324595583,56616.8676824686,68479.9296332839
"stress-ng --cpu 2 --cpu-method bitops --timeout 10s",13.04,6876750.14991627,3847548.98798307,353475.087720509,39596.3485799008,1507.01496899988,36489.2672525624,24319.7162663375,6985347.03410469,332.072136348177,3909995.05510876,8220.65011033361,194.270510572909,4238985257.10941,247896.723695024,112378.98155904,330.863074480027,4243200528.42086,212637.053797899,6950883679.7694,46832.9130678387,137930.409311396,5752767142.2821,30230490705.3633,3860750.85312177,6952231990.8912,43249.9549162833,34526925470.9861,836802.654225292,3720512.66649604,3496897637.7153,27955860749.3088,10356034619.5657,5760171291.7388,6954063254.94962,5757777363.59165,6955562056.83041,2885484424.32538,2388690866.41011,22970.4286212921,15748.0712854134,45335.264973778,28103.7737042967,45337.1559959062,15965.0040809954,42475.9359138812,3118.42919473361,32085.9860129378,49619.0700465176,11947.4590080614,30421.8379521264,2682.4282241109,103156.891796069,29102.5495779024,79757.4495965203,40807.000237191,50467.712400626
"stress-ng --cpu 2 --cpu-method callfunc --timeout 10s",15.08,2794469258.75007,1884500102.49721,371992.616100562,43378.2960636857,1748.83156965521,37251.672382275,24615.4924094058,2793490210.184,346.036012578621,1883828978.11899,8227.00619905671,234.39482273572,7086830074.86267,8381290.7662017,89392.2012657341,454.595733021929,5879420373.97243,6951179.57554189,6955448832.77875,46767.5094793803,137462.517849186,5758987990.59879,18795433906.6208,2077792165.1097,6953446674.26319,40878.0162406128,34496904878.0428,946855607.924224,409156979.282855,95044015.5308175,27899809493.1181,10388636747.5623,5759099430.80714,6952591290.13805,5756459391.67018,6949881110.23727,2885233370.48097,2390435125.3459,24034.2107615061,16769.8723766188,46170.0112898946,26744.9231620088,46169.4139961342,13925.5058286866,40821.5829364434,2921.54739533031,26873.2160592425,41116.3074265151,10719.4550600536,23884.1123813406,2368.28529661466,86469.8125042461,31376.7609728257,85265.7589974824,43470.751925043,53683.0038289019
"stress-ng --cpu 2 --cpu-method cdouble --timeout 10s",18.31,5992157430.8472,2635222626.41277,706212.416846999,40727.4652129845,1656.93455227879,36055.1026388829,23599.7107755659,5438379803.70711,381.084091724183,2391796984.49823,8238.75563123433,1647.59725210381,3776230680.53919,16122379.7337265,148604.411312868,301.737166867715,3778305536.96199,16216379.1660359,6953858270.44642,48928.8060542536,142189.047991001,6069302923.80115,22253948030.752,2387912297.37741,6952904387.53385,41869.6458276655,36050137302.9514,3390873367.07811,500924203.718593,3515642823.78674,27946074916.9963,11438252906.5515,5756034767.86813,6949194273.86781,5754804172.91263,6957545634.5214,2886888478.29663,2390347652.4713,21749.7158200416,14155.2536242486,47079.8267094154,27745.7101450941,47073.4527810568,12908.8980009356,47501.3000667424,2890.64446735995,24300.3238184477,39921.2417798798,10405.4890983284,25488.2885771726,2289.89689157481,91483.0193761529,39295.538700795,106440.362014704,54116.0661810552,66079.6617098635
"stress-ng --cpu 2 --cpu-method cfloat --timeout 10s",15.11,1844445346.38694,1012114238.71058,516305.217459619,38867.52842452,1691.50408899832,36736.1060766804,22660.0136251059,2033237934.64239,377.496879443299,1115696661.05089,8243.78818713693,16209.3124247598,1268234887.84233,6601087.73858602,87530.605133826,316.630835875461,1395911048.46493,7253577.5294456,6954616724.63481,52074.520268944,151597.716741753,5757583733.03668,7663954857.29351,1010029905.78702,6948069827.58811,95356073.4073413,34563381355.3976,1761219759.80316,2712165544.38935,3482244717.54829,27877085086.1466,11295080441.8165,5756182774.09822,6949165811.68168,5753707888.25911,6950213518.13043,2884854532.46565,2389591922.30014,22568.0923189996,15159.8308714712,47223.8072931085,28135.0257031233,47227.8920958997,13809.5226850293,44421.4102454768,2860.55713389004,26903.4611535145,42165.576363897,10722.1804678975,26769.436598416,2205.60607088299,94259.1492606238,31368.9806783932,85006.1848413148,43399.8485494841,53682.6322354367
"stress-ng --cpu 2 --cpu-method clongdouble --timeout 10s",15.745,2127615119.00431,1006722159.68052,723674.734862591,40382.0438774512,1803.19478304246,39036.4295195981,21668.9421241878,2335929437.46532,423.103398670242,1105276937.6321,8240.9251352462,413.711450519352,1642210891.25974,4429457.90656185,188437.812349446,246.869947320207,1649734935.18896,4394475.85707573,6955439032.43201,48350.6648827044,141248.19628584,6948655231.01663,11928244527.5152,1211071891.36498,6953260670.87164,41683.2396839134,38050518495.7489,1491829025.60172,4029342655.73703,70504919.2053668,27936502827.5495,10357508671.2194,5758057542.00657,6951847935.05111,5756482769.9234,6957683361.89981,2888054664.48168,2390312110.29863,23029.491944269,16099.0215003685,48206.8943249831,29325.9867569076,48206.9938322538,15124.8066216838,47055.4394592865,2798.4918317234,25519.3929300937,40092.6260457446,9929.65363165848,22539.6703451761,2356.8709857727,86229.0691112799,31460.0450401027,84768.9623104099,43369.1173398515,53334.9165665986
"stress-ng --cpu 2 --cpu-method collatz --timeout 10s",15.11,32495512.1287752,18722637.3718026,342435.717451018,38748.4360393011,1401.66549659187,41741.2966707477,19735.7043543362,32439014.406068,367.837768746342,18700210.1345913,8230.97883180142,452.65266067074,3809070810.40502,892232.752251268,93299.5142937374,230.293156354035,3482327257.15239,766881.878495687,6953890854.33232,48804.8781822023,139140.983988893,5757028171.2918,15435381469.0612,18753699.8103568,6957789350.12752,43410.5746327555,38097791000.0461,149985523.548645,5310283766.66529,68754885.571142,27896426005.0985,12735183093.4656,6357656229.958,6956017328.15588,6355186469.17987,6959462095.89672,2888187978.02071,2390495124.26215,23002.6109152203,15264.8267253881,42507.6970099528,26741.1706220606,42531.801345549,14629.5388224729,45766.8698823473,2950.24161883066,27180.5865857954,41640.8318534476,9953.13871354982,24131.377142944,2252.31763436612,87821.1678037958,42129.8614032299,104867.179269517,53860.6443164334,62452.4547436499
"stress-ng --cpu 2 --cpu-method correlate --timeout 10s",15.155,3079080269.26233,10763399.8096563,367156.703652165,43846.5608967284,2110.99602859834,39158.1963936222,21148.1126121933,2819552772.92385,401.475095162519,10139272.9208594,8261.31722324637,182.170865766325,1424593304.78367,3201076.15765477,45017595.8094753,348.47952182317,1573304555.78753,3535478.30265796,6947514358.0043,47858.1232744028,153168.157820403,5751747419.75879,17337824220.7983,10809674.4133196,6955242060.08246,42699.4196426235,41660071948.155,653837127.575355,166946129.322759,3532217708.87316,27838013390.4721,10420252792.7248,6348173912.17846,6946097933.53119,6345426541.57373,6952468706.90136,2887477918.66141,2388741892.04249,22493.4277667491,14098.3718909484,45329.9743063933,27919.2136034444,45334.3528698989,15613.6589223444,48721.3116462351,2897.31336712321,23955.2152692333,38397.2479046807,12585.8705864972,30662.701609075,2545.22306715705,106060.888494242,31017.6538232608,84776.598374756,43246.7149067126,53396.9452121635
"stress-ng --cpu 2 --cpu-method crc16 --timeout 10s",13.17,191015758.379638,4912536.32076102,360234.517028467,40808.1130740804,1729.61288804281,37741.371408282,21094.8782526786,190834251.681551,352.470935991954,4930147.57910869,8223.75889299603,209.80434697963,189854272.158316,360829.800823134,92876.6691225713,238.184926565457,189902120.461791,362566.049150061,6952579069.28694,46390.0355495735,142238.331636296,6858699126.97187,12134569901.8857,4986418.25684919,6950441302.55409,42458.6141434871,41488518397.4848,861772.266620819,3722186.50689782,3538804302.73937,27939756751.1352,10364767323.58,6910447906.68875,6952106764.89386,6907769359.73026,6955487203.18051,2886807394.57865,2390177885.10407,23871.5365244557,15950.3388358088,48273.6963919965,28770.7581215044,48275.1903663094,14380.8971378135,45381.2370507169,2872.74926361893,24927.5170918693,40732.664332797,9437.04760318939,22385.1938497236,2291.28734146194,81301.2539877582,30098.3907106869,79932.91165298,40843.1544154981,49913.3331463964
"stress-ng --cpu 2 --cpu-method dither --timeout 10s",18.44,3640901594.39032,3163334229.16781,357067.245311762,62302.2111178029,1438.52893045998,44055.7432627019,24994.241474901,3641625269.24317,368.947146238995,3163841249.77215,8663.14941574436,218.962556285385,3498885638.70669,774050.427797738,13415315.7999584,330.689018236026,3496243695.23967,752654.763640773,6958852806.8804,52442.4689115751,254828.297568494,6902431092.5719,23762060168.6916,3160623648.56891,6950175686.08151,43690.9535663858,41354187760.2346,858430.143257192,3831424.98241772,3489939830.25481,27910348266.8467,10385670929.5808,6892229839.93552,6952999089.30961,6889675970.29455,6952829747.72873,2887727472.81586,2390612480.39722,23079.3648035927,14990.5417430652,47077.602289788,28827.5964380611,47079.8926521786,14464.9330489237,47711.5948986464,2978.0580844691,29013.7498171198,45096.1800440537,11212.5784099751,25919.3008221633,2561.78788553836,90549.1111902535,32766.4835829886,88232.7697149273,45093.1659298892,55277.0646762283
"stress-ng --cpu 2 --cpu-method div8 --timeout 10s",11.935,6926787.96465187,3909718.26583978,481797.414517109,39759.5918612866,1235.27798308712,40465.3799085182,20978.1847833321,6868537.34625734,380.202151388404,3879037.83277763,8219.59895408178,202.407116269956,1063954328.87417,4763331.980092,112140.991154341,309.099129833135,1065110750.13761,4770874.42626107,6958341307.19896,48413.1618316878,133639.67557739,5758004292.12075,6760489664.94741,3865060.81495126,6950125221.35506,42123.7099083024,34542399142.4577,271510425.098123,409683192.795743,88031312.1974984,27851534655.6747,10365981870.812,5755970343.95168,6948877065.4891,5753997491.80286,6952215229.80262,2886979680.65475,2390214200.10593,22548.9832415262,14747.013527174,47937.6556280869,27900.1732984423,47937.8548979588,13343.6087942243,38869.6388762132,2694.27457362965,24099.9788184063,39128.6788409495,12382.0860717096,33536.7966812738,3474.75559646648,115497.986624043,34667.3505580042,91746.146068432,47117.8212303836,57000.2920426155
"stress-ng --cpu 2 --cpu-method div16 --timeout 10s",13.87,6678536.89794245,3805813.38398214,463534.700981551,41755.6779515931,1352.24482021894,37443.9811295822,25074.8772855962,6772513.00518594,373.935784121571,3847076.39537276,8236.72586045139,1518.09495894376,945698182.531265,4229104.36345144,79100.0047893916,302.959186491624,967300908.417304,4316156.98685648,6957275457.41247,46207.8671759365,139137.903973426,5759494171.66693,6697260694.72268,3887814.08711083,6948076049.97432,41025.122420756,41649473879.8744,164028529.100331,11838090389.3833,72942550.0647645,27923470618.6081,10405436250.3799,6352913105.94286,6951022464.57609,6351746862.04476,6953133832.16485,2885568752.34452,2391054057.1331,24409.8528789521,16515.5835069277,45726.8699268329,28746.8063621512,45728.2650352269,16798.0019192635,41442.1558950394,2940.94897340979,23425.4589126941,38488.2661090605,11857.5303031397,26721.4798582625,2481.3592514131,100692.781441125,45580.3196419484,118296.584939063,61343.7737701707,73085.0511664806
"stress-ng --cpu 2 --cpu-method div32 --timeout 10s",12.1,6995214.58889434,3941669.40525327,361486.486826185,41214.0645669595,1346.13805699633,38682.2229650057,21740.2191375775,6914967.09818487,350.472046985928,3893957.60855798,8232.96122630263,400.828840899582,1002410797.05383,4463860.45132595,91203.32031355,318.552476385757,1065856084.29138,4747766.1597686,6957522124.82373,45627.4076198362,141430.603872089,6820977979.69009,6763066997.56534,3875123.19858348,6950758958.12498,42509.4088150287,34529452955.8794,271396231.956797,138986977.162261,108967709.390766,27897260827.1491,13673574170.3851,5757551259.34534,6951138139.52061,5755163758.32867,6957726377.25995,2885862939.14205,2390206547.15738,25914.7980916106,16164.2391414376,45222.475091475,27703.0084716523,45223.2722688089,13089.1535867066,41492.3971588613,2860.15998224193,23598.3873790013,37853.4526296345,10310.5627088788,25503.6345022572,2196.52148866514,93171.1783442295,31185.9473838738,83338.8943216565,42778.6127047221,52542.0788921951
"stress-ng --cpu 2 --cpu-method div64 --timeout 10s",11.875,6816396.96088226,3829056.21344077,367414.906483348,40510.0628999223,2353.04932115906,38290.0868274935,20720.6386352609,6830675.68514052,344.750837432714,3845589.12439155,8228.39131107787,231.737595339773,640785498.188619,2850418.13421173,110563.576828375,324.730813722225,641515862.51865,2853198.9380085,6954566357.74219,49121.9591727449,134034.667510178,6353292644.38713,4913712186.21071,3865276.80949113,6954895206.05111,42470.9407820083,34814667106.4799,137110628.780158,161496026.533351,90898445.3781628,27895172424.9523,13525513890.8317,5758581891.50506,6951816459.37521,5756083410.41778,6954943284.91105,2886768381.4241,2391129885.85649,22479.427001796,15094.8284648653,46835.2585483935,28434.1167869348,46836.1549989502,16125.9502484391,40900.0471050483,3035.22697347692,26310.6138606797,41986.4762439495,11547.4040144497,29545.2667351454,3000.62343851338,99971.7986972415,35089.9275658206,98307.6985107954,49720.7261328989,63002.9649218585
"stress-ng --cpu 2 --cpu-method div128 --timeout 10s",15.815,2063185404.17716,662217662.218728,370308.831388541,41476.5080593408,1795.47378668732,37543.6222793446,20714.2984750786,2260097471.20856,396.330216266864,725276161.302015,8240.48592195917,163.558429258026,3348905042.92151,34758824.4397583,91254.5603473605,343.815154833339,3267030172.45561,33979384.1567449,6955139577.36754,49203.3537065326,136330.641295,6352624546.90748,24152511216.2633,717893794.640313,6954832101.96499,43150.1097678886,38072160302.9738,8287625191.84576,980207932.287422,85669085.4542058,27879664063.0474,13857442210.5696,6628140266.63973,6953590004.18844,6626582908.35707,6952729700.46986,2885905879.87209,2391225920.80838,24638.9376134814,17705.1574370652,46385.0481331019,27996.0496679083,46391.4242079842,15749.5027162672,46942.0650293985,3548.17324407214,33618.2839756953,53435.8915327004,9370.15379994684,24083.5953929191,2337.8814149129,89148.8005881699,31586.3540961252,85768.7360604702,44016.5248676051,54321.816279042
"stress-ng --cpu 2 --cpu-method double --timeout 10s",16.21,4140519182.93549,1340147035.35293,621238.415281343,40036.7344765784,2395.58179595151,41699.8527832063,19694.3567038488,3751002339.42004,398.597790833101,1214201998.9603,8243.91680312569,1430.50954751269,1619538683.61012,19549256.8842023,160477.640975048,328.082429138696,1468524030.46187,17789864.3891174,6954515383.95683,50242.9710669676,147413.072774,6353159544.30715,13057332134.3979,1213886422.30642,6950725482.07172,40230.0463484111,38066772220.8098,4475690868.59931,451170826.189328,3545050525.4429,27894918709.6112,13838862933.6652,6353466717.81171,6951754066.64591,6351528182.32775,6955946153.11164,2886882286.10837,2390303447.28799,23020.7011098555,14198.0792309976,44863.1280392188,27404.1915694675,44863.2276571355,14724.0261836002,38342.5113479393,2774.86432950316,25700.6880389594,42011.8184671671,10415.9256361227,25580.6278671664,2199.39142157713,89894.9935063485,44150.1289974289,116543.755208929,59392.2243149161,72498.039137472
"stress-ng --cpu 2 --cpu-method euler --timeout 10s",15.185,1628972873.24651,1372518678.55069,361616.279587437,38106.8676230915,1582.39396216621,37004.1256401537,21775.5234501967,1631281140.54267,402.700019335022,1374463036.07255,8241.27727887329,383.09563349319,2490227974.71798,19555.7743271064,116731.715279664,390.265191217494,2486564860.78977,21085.158263539,6956532433.1675,46419.7657138675,138720.404302876,5759756151.52946,15352937028.1127,1242832710.37535,6952045196.9943,40957.7332430943,38106064874.8114,846059.397536156,3769998.8674982,154128899.624767,27850497109.2012,10272378221.1108,5758426322.95063,6952044173.93145,5755825293.25149,6954180307.10992,2888085550.67979,2390258730.2034,22920.0254271469,14806.9421608582,48273.3345107735,29423.5142693039,48275.7257348646,16846.6718934874,40571.4179003175,2914.6974595878,25141.3810791086,39139.2559475328,13199.3172986508,29637.4228448637,2583.20060431636,100909.592138757,35200.4088639895,96457.1209688599,49036.4480284797,61435.4125862248
"stress-ng --cpu 2 --cpu-method explog --timeout 10s",12.98,2489930095.97904,515056130.893512,519349.176020058,41500.6903382764,2183.82319742443,37691.9436777764,20523.4660628938,2256998536.87495,367.305477170758,467089441.770319,8223.80457508444,591.340429861529,1452709513.30126,17667.4386533007,132745.189320587,365.12657037691,1467371567.03398,16772.548029365,6955033777.40608,49373.3350735466,137721.280586059,5757826063.81545,9290277355.06568,514457667.730761,6950899282.82311,42638.4308108435,34511190149.1101,729266.678362251,3658965.65859203,3556528275.25048,27877551885.3121,10383375135.1625,5754989561.57354,6947745358.73009,5752930795.2279,6957059131.07954,2886954204.2842,2390894806.65583,23424.9347438969,15561.8447678516,46167.4431819058,27758.8036378866,46168.9364684778,13509.8631686118,43664.3213720849,2924.67016872722,27502.3206413448,46148.2386852988,10178.8206013381,26505.6802967094,2507.60611562138,99599.885486921,30164.8950480835,83060.4257392553,42516.4765406245,52849.2085249162
"stress-ng --cpu 2 --cpu-method factorial --timeout 10s",14.63,795527064.135485,513983348.33074,509538.692308228,40186.4558770457,1058.60847035558,40317.800085681,21662.6470613112,877459197.095936,389.091308426395,566977361.864127,8232.15412641537,1488.62040806808,345049346.587863,537141.677102407,88684.0439285699,324.870824787356,342703958.674087,533843.013290793,6949108592.98579,46167.6562741308,145485.089845434,5752368211.33721,4738711244.07903,566752248.672339,6949910892.06059,32893675.1598544,38110646365.1871,1344727946.97797,5678526197.31836,170671710.627756,27907403931.1002,13788799373.14,5780755594.53352,6951644449.87703,5777973248.48636,6956897846.79764,2886071089.87012,2391146231.75731,24794.9920214946,17616.4534022689,43326.624588178,27002.2336642,43371.9443875007,15041.3923853475,46724.8771622736,3082.33939035491,34281.4584125255,53239.3037752579,10318.9059302424,25085.1166622919,2421.51281532821,95865.0880678043,31285.3118849276,83623.589768843,42675.8786839749,52289.1720264883
"stress-ng --cpu 2 --cpu-method fibonacci --timeout 10s",13.43,447216768.546998,224020738.361771,358705.989232347,43289.680153794,2515.89049283392,37535.4517736731,24416.1769134831,447713359.602799,328.18542643491,224265299.986212,8221.53706120415,539.663079668743,4388148891.43362,44291721.9137061,84523.9221974671,301.89240629545,4716933318.3711,47611408.62462,6955727814.87706,46661.1198629687,138191.339841352,6353462277.03309,17432101448.3828,224092831.748034,6954977307.97253,43419.3520501654,38114815955.6854,8731021435.38687,2244017400.45582,115839561.575853,27922469397.7434,13834154923.3254,5756294638.54167,6949514745.34502,5754409133.14023,6948289805.08451,2887887633.11348,2389816641.53571,22872.6356758447,14908.293705763,43787.6577737646,28044.7992731936,43790.5463716546,15379.3932005483,44341.9894321986,2828.52281208944,22406.0331277517,36891.2269946386,9417.97375415353,22331.5901650394,2056.22522854976,84227.6353271801,41081.6074549702,106481.84027846,54520.6879610426,65609.0221121925
