"command","watt","L1-dcache-loads","L1-dcache-stores","L1-icache-loads","L1-icache-load-misses","LLC-loads","LLC-load-misses","LLC-stores","LLC-store-misses","dTLB-loads","dTLB-load-misses","dTLB-stores","dTLB-store-misses","iTLB-load-misses","branch-loads","branch-load-misses","branch-instructions","branch-misses","bus-cycles","cache-misses","cache-references","cpu-cycles","instructions","mem-stores","ref-cycles","topdown-bad-spec","topdown-be-bound","topdown-fe-bound","topdown-retiring","cstate_core/c1-residency/","cstate_core/c6-residency/","cstate_core/c7-residency/","msr/aperf/","msr/mperf/","msr/pperf/","msr/tsc/","uncore_clock/clockticks/","unc_m_clockticks","unc_mc0_wrcas_count_freerun","unc_m_dram_page_hit_wr","unc_m_vc0_requests_wr","unc_m_dram_page_empty_wr","unc_m_cas_count_wr","unc_m_act_count_wr","unc_m_prefetch_rd","unc_m_dram_page_miss_wr","unc_m_pre_count_idle","unc_m_act_count_total","unc_m_pre_count_page_miss","unc_m_act_count_rd","unc_m_dram_page_miss_rd","unc_m_cas_count_rd","unc_m_dram_page_empty_rd","unc_m_vc0_requests_rd","unc_mc0_rdcas_count_freerun","unc_m_dram_page_hit_rd"
"sleep 10s",2.14,44181.0547038958,26701.7192578545,54556.2364921857,6362.36448692777,107.016612878412,2.58830877659414,190.937547442599,0.497751687806566,44249.7939094154,70.5454281141377,26902.9815858347,4.47749543742764,37.4610656027326,34763.7692488422,1169.8612561364,34657.8463629228,1171.29638011676,754986.300103133,1413.37766154762,2502.81895579926,172445.310818441,165556.153198144,26131.5793377353,751381.783308591,138694.689341459,193983.776314737,265037.271482185,208105.052597547,103166837.440312,27883757667.808,20742505082.534,172803.239209978,512088.829546206,142203.035268689,724693.509814361,38000929.1425307,114591965.866562,33477.5227994891,22243.2572206561,69978.9660830919,42171.4547454466,69978.9660830919,33877.6993950836,87680.8075884373,5459.49312669232,103023.381099302,187982.318598278,50694.5192017486,159353.966081078,14164.4997465203,676157.770503358,191149.122469221,644667.77798523,323603.037148259,440284.721912864
"sum_up_benchmark",10.46,1628055678.50196,698890004.553369,1528910300.65665,10087366.5842753,1579392.76964434,68.959044109169,4419257.75563612,1936.52519106571,1626382945.67966,319847.418847943,698381494.410173,74249.6308272849,1195984.26487705,1934387323.18598,7503874.20752571,1946326770.11527,7263709.37896301,3639522810.82006,4368818.51550156,18554410.8250821,2697475849.047,7658080659.63333,697333438.694418,3647587168.83913,936675768.217751,2137408660.38906,2620235605.45449,7961570136.8392,8662963910.48901,18930355277.6417,17138886901.1922,2713038441.82988,3658907454.846,2685800756.40418,3653163654.79732,2696560318.9496,2390553328.95331,1650591.0512346,1597063.29967163,3797415.09789917,2079199.63150886,3797429.86279583,1865355.04407063,165911.065777752,84635.7527995905,2180792.75053312,3305762.98526167,711251.766039448,1255489.52097156,33128.5819725563,3563418.64890624,1802207.61355172,4454263.35540302,2300953.99273297,2758399.00639195
"stress-ng --cpu 2 --cpu-method all --timeout 10s",11.055,1242411937.11209,561931144.341175,1632001751.87898,1251369.04277126,26395.8328942345,32.4526726939681,76370.9639699977,1311.90177474484,1237133407.39931,1081.29246616677,559806745.508526,270.149434869752,145809.910223313,1030028488.06657,15486041.9474165,1036626989.76067,15620015.8058452,6956278590.50417,62328.7225665461,150557.941199317,5162635856.00809,9439119304.88239,564910226.611814,6951081422.03679,2141701687.00191,11356415203.8071,2319255838.65068,9934301707.13731,3572929793.61206,20920174348.9824,17333058490.793,5162437918.97962,6951221702.29465,5153987094.9114,6957227530.92119,2690003038.87471,2390923369.86556,20150.2658349174,15267.3193786308,50049.9675415945,27280.619913788,50109.6990884623,21889.4751079724,19168.4900897795,2894.31650986215,31788.4186493886,49627.9295185685,12428.156923138,28123.1840369385,1919.06608075037,92242.9371382639,38968.7741936218,96635.270315872,49106.2898687796,58027.1007295671
"stress-ng --cpu 2 --cpu-method ackermann --timeout 10s",11.595,2076995251.5359,2074907557.10587,4488433328.64066,77054.5743553903,24185.5221622096,27.7846231707984,52523.0593341069,1194.44110395322,2079249628.35635,764.452513268453,2077205557.59954,46.0716932272454,88413.8054100632,5475975424.08567,8734539.61362903,5475328048.08022,8728881.94700694,6949361103.85998,53347.4639828251,100242.640681579,5157473279.47647,20409006333.7855,2076986968.73149,6949461154.16916,923008746.824155,3111320250.12504,781675132.850965,21037836983.0787,3522613890.89141,21001671380.689,17343810629.9538,5158471276.43305,6945769682.75736,5149641907.6007,6953808258.52662,2695183489.83704,2390452301.82196,17775.5056267731,13361.4138144302,45035.8766813713,25246.5922348877,45048.6157738489,21203.0251390153,16278.5502806504,2779.89113147716,25809.2642672962,41536.2962529895,11161.5136360211,24492.301960426,1791.56404538863,85418.0134886322,34504.7058587681,87602.7767981673,44555.7543782774,53076.2788078277
"stress-ng --cpu 2 --cpu-method apery --timeout 10s",10.44,372059649.481004,369998404.979264,370987738.09353,80198.4727004558,23815.3768857549,23.3329312977724,51667.5494641631,1086.81815312944,371971313.18457,729.646853834483,369913919.342787,49.3447389244439,75151.3567187134,736012954.836986,48426.4374135214,735751999.562807,48142.5877393161,6945374161.30831,54249.8014901926,102476.433367452,5154357671.46109,6967475251.97702,369658315.848929,6945202303.59421,7952948.15406614,17548154104.2061,207833475.232107,8096166236.87225,3612067330.25823,20944971851.2487,17358782970.3288,5160897677.50463,6949068457.52965,5152381367.28974,6957040894.81037,2695715689.30481,2390091493.48761,18602.6032206952,14462.7534858912,52972.659169145,29355.9144612918,52975.5437238661,23562.0376355575,13794.8873033584,2842.57137605535,27048.9723415592,42784.9943721108,13363.254620736,29500.0412181304,2238.06188150941,99701.2858399916,32567.1355034559,81748.8223682717,41524.5380157412,49042.4876855357
"stress-ng --cpu 2 --cpu-method bitops --timeout 10s",11.395,6286496.07924462,4185483.28348524,3312675929.20538,76586.1833231065,26108.4240774852,71.1934193227284,52735.0607846012,1248.516115152,6246869.31403908,712.044184170298,4159116.80289883,40.6485819423312,77790.2663445842,3087458416.7424,163249.520025616,3082788901.56747,165028.667815608,6950932168.74429,53564.2015264773,100859.074995622,5158245460.33871,23553107468.904,4255166.57142434,6942458988.38948,21781670.216995,1983306260.63,204821032.151489,23637995030.0694,3513958197.09519,20944061809.4105,17301801472.3058,5158851258.10796,6946444913.87452,5150691939.0557,6950124153.85588,2697660200.59891,2388487047.50241,18699.7003755829,14016.9438367876,57599.1155536008,32278.5109555803,57609.3666493487,26486.7413832407,13840.4740345841,2624.24341102099,27453.1336178533,44215.5020845651,11788.2205897349,25690.5117171278,1801.56441956491,88092.6771683537,36659.2434060862,95192.4489657326,47975.9130910529,58463.8910075495
"stress-ng --cpu 2 --cpu-method callfunc --timeout 10s",11.635,2781377474.91516,1876393813.97912,2026497105.03576,85462.4516713396,24837.5267459118,24.3206387221316,50000.2551753081,1008.95906927243,2779405159.51336,758.844678952793,1875062903.54699,50.1329883400262,96256.0878466509,5842717287.75092,6957903.68236642,5844063900.54443,6981737.09145258,6953216445.97466,53942.1301867068,102424.996281182,5160227067.84261,16966293602.4588,1876345577.12832,6952315732.41542,827644933.137878,4729249998.90889,2374223189.08124,17924860857.7575,3534586387.69052,20936240711.0227,17330150583.9943,5161146892.03293,6949671961.8645,5154151331.09031,6955302966.94832,2694012378.83919,2389882686.52594,19837.3617751681,15341.6480304684,48107.5074492411,25672.5046993482,48110.2941093882,20008.71747397,10450.6293673113,2385.16149425805,27055.8112411456,42697.5749427893,12817.0405603758,28919.1217642376,2228.22871302506,97489.8311387066,36167.5718143287,92038.0506386393,46879.0558614526,56041.4994240426
"stress-ng --cpu 2 --cpu-method cdouble --timeout 10s",12.355,3381407860.16232,1487998843.31798,2673849475.73341,120571.466221495,27211.862993428,29.1872650329725,53260.0078891807,1198.56411817373,3378652635.38767,841.305372042442,1486762901.18689,42.1049902910759,129714.416304426,2129646131.85534,11937652.3062575,2131703578.62296,11846508.8331984,6949941454.37162,53234.1292305916,104743.639369757,5155759583.4292,13847744698.1037,1486820950.55106,6944028336.05951,2337447401.63253,6643805887.19301,2295703910.22268,14593065985.9577,3503037651.95138,20928370204.5976,17314848075.9652,5158530812.35964,6945954156.77184,5149486373.98604,6948884822.2053,2692200470.56405,2390527717.42052,22046.6329364931,16293.6110906006,44710.2512936363,24628.3671424241,44715.9248170836,20221.7315274115,17762.707280206,2479.1723884053,27563.734637845,43311.8095198769,11011.6715325754,24884.0097761748,1776.21405738226,84498.8594235919,34184.163574141,87593.0877013173,44499.8402033919,53292.8857024859
"stress-ng --cpu 2 --cpu-method cfloat --timeout 10s",10.43,823965025.509503,453315381.296958,993075310.880563,106518.095226152,23983.0583905886,17.5650624402982,51706.1849916289,1081.29333530785,826366722.54638,811.275756262038,454613792.898789,44.0835192486042,90981.7688690601,566747236.984052,2953927.68397894,567503249.042163,2994720.59383127,6948804660.07512,52636.816188533,103234.417583321,5156998651.51099,3432960370.64981,453405100.229316,6945144746.47863,2012303036.68812,13918444684.1067,4756298703.81343,5165992075.13222,3516720829.44765,20957911838.4825,17273115801.5591,5162739717.09234,6951619672.0882,5153689294.2412,6952503105.64938,2697020950.16745,2390861158.41536,18182.0550694086,14022.6196298348,54882.1314644429,29013.0474937542,54853.6910049415,23950.6457025024,10710.686099946,2439.54404140357,25807.6351656987,40760.0805824441,11151.9074557704,24545.7409233756,1799.75096542013,84063.7163358869,35563.9178704529,94211.0285920908,47221.6679729473,58236.120709405
"stress-ng --cpu 2 --cpu-method clongdouble --timeout 10s",10.475,1266684145.13254,600236473.9422,1208003498.92365,134505.691450308,27988.8397166978,32.6746183429562,51504.9313735373,1118.68358971142,1269629765.0086,824.23228414977,601596583.253532,44.8426808420433,102328.541898534,890927446.075535,5618570.39571838,894091005.56641,5700306.6340705,6948853387.73797,53311.2732973907,103907.656486726,5156984339.85825,5913929628.35914,601716571.049336,6942285346.83987,1574833271.48964,13415430493.8684,4005002712.93303,6819211299.43626,3562434252.28225,20919521990.1604,17351621830.5926,5149579126.13233,6933634308.83853,5140325580.90681,6953235832.91841,2632783589.10697,2390681156.76231,17293.1863065351,12490.5242815836,57537.2181094507,32589.0550148685,57539.10932078,27677.579192573,13935.8626610305,2453.69310662249,25204.4470096847,39834.6854211399,14911.2749772054,31647.8416466459,2555.30887108123,104339.623111441,35869.0031991391,95706.7003018826,48100.9850918792,59347.4028073845
